Name,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre,Platform
'98 Koshien,1998.0,Magical Company,0.15,0.1,0.12,0.03,0.41,Sports,PS
.hack//G.U. Vol.1//Rebirth,2006.0,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,Role-Playing,PS2
.hack//G.U. Vol.2//Reminisce,2006.0,Namco Bandai Games,0.11,0.09,0.0,0.03,0.23,Role-Playing,PS2
.hack//G.U. Vol.2//Reminisce (jp sales),2006.0,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,Role-Playing,PS2
.hack//G.U. Vol.3//Redemption,2007.0,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,Role-Playing,PS2
.hack//Infection Part 1,2002.0,Atari,0.49,0.38,0.26,0.13,1.27,Role-Playing,PS2
.hack//Link,2010.0,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,Role-Playing,PSP
.hack//Mutation Part 2,2002.0,Atari,0.23,0.18,0.2,0.06,0.68,Role-Playing,PS2
.hack//Outbreak Part 3,2002.0,Atari,0.14,0.11,0.17,0.04,0.46,Role-Playing,PS2
.hack//Quarantine Part 4: The Final Chapter,2003.0,Atari,0.09,0.07,0.0,0.02,0.18,Role-Playing,PS2
.hack: Sekai no Mukou ni + Versus,2012.0,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,Action,PS3
007 Racing,2000.0,Electronic Arts,0.3,0.2,0.0,0.03,0.53,Racing,PS
007: Quantum of Solace,2008.0,Activision,1.8399999999999999,1.35,0.04,0.68,3.92,Action,"PS3, X360, Wii, DS, PC, PS2"
007: The World is not Enough,2000.0,Electronic Arts,1.64,0.73,0.02,0.09,2.47,Action,"N64, PS"
007: Tomorrow Never Dies,1999.0,Electronic Arts,1.72,1.33,0.0,0.16,3.21,Shooter,PS
1 vs. 100,2008.0,DSI Games,0.08,0.0,0.0,0.01,0.09,Misc,DS
1/2 Summer +,2013.0,Kaga Create,0.0,0.0,0.01,0.0,0.01,Adventure,PSP
10 Minute Solution,2010.0,Activision,0.06,0.01,0.0,0.01,0.08,Sports,Wii
